"Date","Price","Open","High","Low","Vol.","Change %"
"19-03-2024","259.25","262.00","263.95","256.65","8.76M","-0.90%"
"18-03-2024","261.60","258.95","263.05","257.55","9.25M","1.10%"
"15-03-2024","258.75","263.95","266.40","248.90","34.96M","-1.71%"
"14-03-2024","263.25","252.50","264.35","251.20","21.40M","3.09%"
"13-03-2024","255.35","270.80","271.00","252.75","20.08M","-5.57%"
"12-03-2024","270.40","274.00","275.60","269.05","13.78M","-1.31%"
"11-03-2024","274.00","278.10","280.50","273.20","10.68M","-1.47%"
"07-03-2024","278.10","280.25","284.35","277.25","11.39M","-0.77%"
"06-03-2024","280.25","284.30","284.30","273.55","16.81M","-1.23%"
"05-03-2024","283.75","280.00","284.95","276.65","18.54M","1.63%"
"04-03-2024","279.20","272.75","280.55","272.50","22.28M","2.68%"
"02-03-2024","271.90","272.35","272.85","271.35","864.69K","0.50%"
"01-03-2024","270.55","266.50","272.95","266.50","12.93M","2.25%"
"29-02-2024","264.60","265.00","266.35","261.50","17.18M","-0.43%"
"28-02-2024","265.75","270.00","270.30","264.60","9.12M","-1.34%"
"27-02-2024","269.35","268.05","270.20","264.95","19.58M","-0.19%"
"26-02-2024","269.85","271.90","271.90","267.80","8.66M","-0.86%"
"23-02-2024","272.20","274.90","276.00","271.10","9.46M","-0.91%"
"22-02-2024","274.70","273.85","276.00","268.50","16.79M","0.64%"
"21-02-2024","272.95","276.00","281.10","271.60","16.34M","-1.32%"
"20-02-2024","276.60","274.80","281.15","274.05","18.97M","0.71%"
"19-02-2024","274.65","274.70","279.05","272.40","15.32M","-0.02%"
"16-02-2024","274.70","275.15","278.00","270.35","27.04M","-0.94%"
"15-02-2024","277.30","271.65","279.85","269.00","32.83M","3.14%"
"14-02-2024","268.85","258.00","269.65","256.00","36.17M","3.60%"
"13-02-2024","259.50","258.00","262.40","254.70","20.71M","0.62%"
"12-02-2024","257.90","261.95","266.60","256.80","30.91M","-3.61%"
"09-02-2024","267.55","275.00","275.65","259.15","26.74M","-2.05%"
"08-02-2024","273.15","273.05","275.65","269.10","25.25M","0.46%"
"07-02-2024","271.90","275.00","275.65","267.55","23.76M","-0.15%"
"06-02-2024","272.30","265.35","273.40","260.20","36.71M","3.56%"
"05-02-2024","262.95","260.05","268.05","255.10","34.00M","2.22%"
"02-02-2024","257.25","250.00","260.00","249.00","30.48M","3.88%"
"01-02-2024","247.65","254.65","254.65","245.45","29.76M","-1.82%"
"31-01-2024","252.25","250.45","254.35","246.30","33.29M","1.22%"
"30-01-2024","249.20","256.50","263.30","248.65","51.49M","-1.31%"
"29-01-2024","252.50","241.00","254.95","239.10","54.13M","7.88%"
"25-01-2024","234.05","235.00","237.50","232.80","18.29M","-0.13%"
"24-01-2024","234.35","231.00","235.00","228.10","14.46M","1.94%"
"23-01-2024","229.90","245.00","245.65","228.00","20.28M","-5.02%"
"20-01-2024","242.05","243.00","245.45","240.45","15.13M","0.00%"
"19-01-2024","242.05","236.00","242.55","235.00","26.39M","3.64%"
"18-01-2024","233.55","230.05","234.50","224.65","19.23M","0.65%"
"17-01-2024","232.05","232.20","237.25","230.70","26.01M","-1.30%"
"16-01-2024","235.10","234.95","238.95","231.10","34.51M","0.69%"
"15-01-2024","233.50","228.50","235.45","224.65","57.88M","4.52%"
"12-01-2024","223.40","213.80","224.75","212.35","39.23M","5.45%"
"11-01-2024","211.85","214.00","214.00","210.85","12.59M","-0.12%"
"10-01-2024","212.10","215.00","215.00","209.70","16.50M","-2.10%"
"09-01-2024","216.65","221.00","221.45","215.95","11.95M","-0.60%"
"08-01-2024","217.95","218.00","220.80","217.10","19.31M","0.69%"
"05-01-2024","216.45","215.45","217.50","213.05","20.74M","0.84%"
"04-01-2024","214.65","210.50","215.40","209.30","31.05M","3.07%"
"03-01-2024","208.25","205.50","210.45","204.50","11.65M","0.58%"
"02-01-2024","207.05","205.35","210.75","203.65","21.14M","0.83%"
"01-01-2024","205.35","206.00","207.10","204.75","4.82M","0.15%"
